Threshold,Precision,Recall,F1,False_Positives,False_Negatives,Predicted_Churners,Total_Cost_USD
0.05,0.3201,0.9821,0.4829,584,5,859,31700
0.06,0.3239,0.9786,0.4867,572,6,846,31600
0.07,0.3297,0.9786,0.4932,557,6,831,30850
0.08,0.3383,0.975,0.5023,534,7,807,30200
0.09,0.3451,0.975,0.5098,518,7,791,29400
0.1,0.3523,0.9714,0.5171,500,8,772,29000
0.11,0.356,0.9714,0.5211,492,8,764,28600
0.12,0.3632,0.9714,0.5287,477,8,749,27850
0.13,0.3686,0.9714,0.5344,466,8,738,27300
0.14,0.3717,0.9679,0.5372,458,9,729,27400
0.15,0.3764,0.9679,0.542,449,9,720,26950
0.16,0.3812,0.9679,0.5469,440,9,711,26500
0.17,0.3863,0.9643,0.5516,429,10,699,26450
0.18,0.393,0.9643,0.5584,417,10,687,25850
0.19,0.3962,0.9607,0.561,410,11,679,26000
0.2,0.4018,0.9571,0.566,399,12,667,25950
0.21,0.407,0.9536,0.5705,389,13,656,25950
0.22,0.412,0.9536,0.5754,381,13,648,25550
0.23,0.4143,0.95,0.577,376,14,642,25800
0.24,0.4216,0.95,0.584,365,14,631,25250
0.25,0.4254,0.9464,0.5869,358,15,623,25400
0.26,0.433,0.9464,0.5942,347,15,612,24850
0.27,0.4371,0.9429,0.5973,340,16,604,25000
0.28,0.4418,0.9357,0.6002,331,18,593,25550
0.29,0.442,0.925,0.5982,327,21,586,26850
0.3,0.4466,0.925,0.6023,321,21,580,26550
0.31,0.4464,0.9071,0.5984,315,26,569,28750
0.32,0.447,0.9036,0.5981,313,27,566,29150
0.33,0.4508,0.9,0.6007,307,28,559,29350
0.34,0.4523,0.8964,0.6012,304,29,555,29700
0.35,0.4606,0.8964,0.6085,294,29,545,29200
0.36,0.4638,0.8929,0.6105,289,30,539,29450
0.37,0.4654,0.8893,0.611,286,31,535,29800
0.38,0.4695,0.8786,0.6119,278,34,524,30900
0.39,0.4748,0.875,0.6156,271,35,516,31050
0.4,0.4794,0.8714,0.6185,265,36,509,31250
0.41,0.4831,0.8679,0.6207,260,37,503,31500
0.42,0.4909,0.8679,0.6271,252,37,495,31100
0.43,0.4939,0.8607,0.6276,247,39,488,31850
0.44,0.501,0.8607,0.6334,240,39,481,31500
0.45,0.5042,0.8571,0.6349,236,40,476,31800
0.46,0.5053,0.85,0.6338,233,42,471,32650
0.47,0.5119,0.8464,0.638,226,43,463,32800
0.48,0.5142,0.8393,0.6377,222,45,457,33600
0.49,0.5213,0.8286,0.64,213,48,445,34650
0.5,0.5333,0.8286,0.649,203,48,435,34150
0.51,0.5349,0.8214,0.6479,200,50,430,35000
0.52,0.5366,0.8107,0.6458,196,53,423,36300
0.53,0.5407,0.8071,0.6476,192,54,418,36600
0.54,0.5426,0.7964,0.6454,188,57,411,37900
0.55,0.5455,0.7929,0.6463,185,58,407,38250
0.56,0.5477,0.7786,0.6431,180,62,398,40000
0.57,0.5466,0.7536,0.6336,175,69,386,43250
0.58,0.5479,0.7357,0.628,170,74,376,45500
0.59,0.5477,0.7179,0.6213,166,79,367,47800
0.6,0.5546,0.7071,0.6217,159,82,357,48950
0.61,0.5584,0.7,0.6212,155,84,351,49750
0.62,0.5664,0.6857,0.6204,147,88,339,51350
0.63,0.578,0.675,0.6227,138,91,327,52400
0.64,0.5818,0.6607,0.6187,133,95,318,54150
0.65,0.5793,0.6393,0.6078,130,101,309,57000
0.66,0.5847,0.6286,0.6059,125,104,301,58250
0.67,0.5898,0.6214,0.6052,121,106,295,59050
0.68,0.593,0.6036,0.5982,116,111,285,61300
0.69,0.5978,0.5893,0.5935,111,115,276,63050
0.7,0.6069,0.5679,0.5867,103,121,262,65650
0.71,0.6145,0.5464,0.5784,96,127,249,68300
0.72,0.6261,0.5321,0.5753,89,131,238,69950
0.73,0.6425,0.5071,0.5669,79,138,221,72950
0.74,0.6589,0.5036,0.5709,73,139,214,73150
0.75,0.6618,0.4893,0.5626,70,143,207,75000
0.76,0.6947,0.4714,0.5617,58,148,190,76900
0.77,0.6971,0.4357,0.5363,53,158,175,81650
0.78,0.6988,0.4143,0.5202,50,164,166,84500
0.79,0.6962,0.3929,0.5023,48,170,158,87400
0.8,0.7267,0.3893,0.507,41,171,150,87550
0.81,0.7286,0.3643,0.4857,38,178,140,90900
0.82,0.7348,0.3464,0.4709,35,183,132,93250
0.83,0.7398,0.325,0.4516,32,189,123,96100
0.84,0.7345,0.2964,0.4224,30,197,113,100000
0.85,0.7333,0.275,0.4,28,203,105,102900
0.86,0.7234,0.2429,0.3636,26,212,94,107300
0.87,0.7381,0.2214,0.3407,22,218,84,110100
0.88,0.726,0.1893,0.3003,20,227,73,114500
0.89,0.7344,0.1679,0.2733,17,233,64,117350
0.9,0.7544,0.1536,0.2552,14,237,57,119200
0.91,0.7917,0.1357,0.2317,10,242,48,121500
0.92,0.7619,0.1143,0.1988,10,248,42,124500
0.93,0.7576,0.0893,0.1597,8,255,33,127900
0.94,0.8077,0.075,0.1373,5,259,26,129750
0.95,0.8333,0.0357,0.0685,2,270,12,135100
