Threshold,Precision,Recall,F1,False_Positives,False_Negatives,Predicted_Churners,Total_Cost_USD
0.05,0.3366,0.9821,0.5014,542,5,817,29600
0.06,0.3575,0.9679,0.5222,487,9,758,28850
0.07,0.3812,0.9679,0.5469,440,9,711,26500
0.08,0.3961,0.9536,0.5597,407,13,674,26850
0.09,0.4055,0.95,0.5684,390,14,656,26500
0.1,0.4154,0.9464,0.5773,373,15,638,26150
0.11,0.4253,0.9357,0.5848,354,18,616,26700
0.12,0.4305,0.9286,0.5882,344,20,604,27200
0.13,0.4378,0.9179,0.5928,330,23,587,28000
0.14,0.4454,0.9036,0.5967,315,27,568,29250
0.15,0.4539,0.8964,0.6026,302,29,553,29600
0.16,0.4646,0.8893,0.6103,287,31,536,29850
0.17,0.4698,0.8893,0.6148,281,31,530,29550
0.18,0.4692,0.8714,0.61,276,36,520,31800
0.19,0.4746,0.8679,0.6136,269,37,512,31950
0.2,0.4821,0.8679,0.6199,261,37,504,31550
0.21,0.4908,0.8571,0.6242,249,40,489,32450
0.22,0.4969,0.8536,0.6281,242,41,481,32600
0.23,0.5021,0.85,0.6313,236,42,474,32800
0.24,0.5097,0.8429,0.6353,227,44,463,33350
0.25,0.5175,0.8429,0.6413,220,44,456,33000
0.26,0.5213,0.8286,0.64,213,48,445,34650
0.27,0.5239,0.8214,0.6398,209,50,439,35450
0.28,0.5267,0.8107,0.6385,204,53,431,36700
0.29,0.5246,0.8,0.6337,203,56,427,38150
0.3,0.5287,0.7893,0.6332,197,59,418,39350
0.31,0.5355,0.7821,0.6357,190,61,409,40000
0.32,0.5411,0.775,0.6373,184,63,401,40700
0.33,0.5429,0.7679,0.6361,181,65,396,41550
0.34,0.5452,0.7536,0.6327,176,69,387,43300
0.35,0.5541,0.75,0.6373,169,70,379,43450
0.36,0.5595,0.7393,0.6369,163,73,370,44650
0.37,0.5623,0.725,0.6334,158,77,361,46400
0.38,0.5653,0.7107,0.6297,153,81,352,48150
0.39,0.5677,0.7036,0.6284,150,83,347,49000
0.4,0.5689,0.6929,0.6248,147,86,341,50350
0.41,0.5745,0.675,0.6207,140,91,329,52500
0.42,0.5759,0.6643,0.6169,137,94,323,53850
0.43,0.589,0.65,0.618,127,98,309,55350
0.44,0.5973,0.6357,0.6159,120,102,298,57000
0.45,0.6125,0.6321,0.6221,112,103,289,57100
0.46,0.6143,0.6143,0.6143,108,108,280,59400
0.47,0.6111,0.5893,0.6,105,115,270,62750
0.48,0.6178,0.5714,0.5937,99,120,259,64950
0.49,0.623,0.5429,0.5802,92,128,244,68600
0.5,0.6266,0.5393,0.5797,90,129,241,69000
0.51,0.6329,0.5357,0.5803,87,130,237,69350
0.52,0.6447,0.525,0.5787,81,133,228,70550
0.53,0.6473,0.5179,0.5754,79,135,224,71450
0.54,0.6589,0.5036,0.5709,73,139,214,73150
0.55,0.6635,0.4929,0.5656,70,142,208,74500
0.56,0.6684,0.4679,0.5504,65,149,196,77750
0.57,0.6809,0.4571,0.547,60,152,188,79000
0.58,0.6854,0.4357,0.5328,56,158,178,81800
0.59,0.7006,0.4179,0.5235,50,163,167,84000
0.6,0.7089,0.4,0.5114,46,168,158,86300
0.61,0.7315,0.3893,0.5082,40,171,149,87500
0.62,0.7246,0.3571,0.4785,38,180,138,91900
0.63,0.75,0.3429,0.4706,32,184,128,93600
0.64,0.735,0.3071,0.4332,31,194,117,98550
0.65,0.7545,0.2964,0.4256,27,197,110,99850
0.66,0.7647,0.2786,0.4084,24,202,102,102200
0.67,0.7444,0.2393,0.3622,23,213,90,107650
0.68,0.7561,0.2214,0.3425,20,218,82,110000
0.69,0.75,0.1929,0.3068,18,226,72,113900
0.7,0.7429,0.1857,0.2971,18,228,70,114900
0.71,0.7759,0.1607,0.2663,13,235,58,118150
0.72,0.7547,0.1429,0.2402,13,240,53,120650
0.73,0.7442,0.1143,0.1981,11,248,43,124550
0.74,0.8,0.0857,0.1548,6,256,30,128300
0.75,0.8333,0.0536,0.1007,3,265,18,132650
0.76,0.875,0.025,0.0486,1,273,8,136550
0.77,0.6667,0.0071,0.0141,1,278,3,139050
0.78,0.0,0.0,0.0,0,280,0,140000
0.79,0.0,0.0,0.0,0,280,0,140000
0.8,0.0,0.0,0.0,0,280,0,140000
0.81,0.0,0.0,0.0,0,280,0,140000
0.82,0.0,0.0,0.0,0,280,0,140000
0.83,0.0,0.0,0.0,0,280,0,140000
0.84,0.0,0.0,0.0,0,280,0,140000
0.85,0.0,0.0,0.0,0,280,0,140000
0.86,0.0,0.0,0.0,0,280,0,140000
0.87,0.0,0.0,0.0,0,280,0,140000
0.88,0.0,0.0,0.0,0,280,0,140000
0.89,0.0,0.0,0.0,0,280,0,140000
0.9,0.0,0.0,0.0,0,280,0,140000
0.91,0.0,0.0,0.0,0,280,0,140000
0.92,0.0,0.0,0.0,0,280,0,140000
0.93,0.0,0.0,0.0,0,280,0,140000
0.94,0.0,0.0,0.0,0,280,0,140000
0.95,0.0,0.0,0.0,0,280,0,140000
